2013-03-04,538.52001953125,539.8499755859375,537.3599853515625,537.3800048828125,372100,0,0
2013-03-05,540.4299926757812,544.1099853515625,540.4299926757812,543.9600219726562,455100,0,0
2013-03-06,547.5700073242188,547.6099853515625,542.7000122070312,544.3599853515625,486300,0,0
2013-03-07,545.4000244140625,545.4199829101562,538.2899780273438,541.2999877929688,509600,0,0
2013-03-08,542.7899780273438,544.010009765625,539.5900268554688,543.0999755859375,490100,0,0
2013-03-11,544.280029296875,544.3499755859375,532.5399780273438,540.4400024414062,521300,0,0
2013-03-12,542.9600219726562,546.02001953125,542.9600219726562,543.8800048828125,562400,0,0
2013-03-13,545.9600219726562,549.780029296875,545.9600219726562,549.72998046875,541600,0,0
2013-03-14,551.6699829101562,553.739990234375,547.4000244140625,553.5800170898438,596500,0,0
2013-03-15,556.6300048828125,556.6300048828125,553.4199829101562,554.8099975585938,569700,0,0
2013-03-18,554.6699829101562,555.6799926757812,541.0900268554688,541.0900268554688,508000,0,0
2013-03-19,545.0599975585938,550.010009765625,545.0599975585938,550.010009765625,493300,0,0
2013-03-20,551.6699829101562,552.489990234375,543.530029296875,546.260009765625,488000,0,0
2013-03-21,549.6599731445312,551.0800170898438,544.5599975585938,544.5599975585938,463000,0,0
2013-03-22,546.219970703125,551.4299926757812,546.0999755859375,551.25,410600,0,0
2013-03-25,554.3300170898438,554.8200073242188,549.1699829101562,549.5599975585938,384000,0,0
2013-03-26,550.6799926757812,551.8400268554688,548.5,549.9000244140625,384600,0,0
2013-03-27,552.5999755859375,552.6300048828125,545.6099853515625,548.719970703125,443300,0,0
2013-03-28,550.47998046875,553.0999755859375,550.47998046875,552.6400146484375,407400,0,0
2013-03-29,555.7999877929688,555.8699951171875,553.969970703125,555.02001953125,404900,0,0
2013-04-01,557.280029296875,557.280029296875,553.4500122070312,553.969970703125,401800,0,0
2013-04-02,555.77001953125,557.510009765625,549.0800170898438,552.8300170898438,503300,0,0
2013-04-03,556.3200073242188,557.9600219726562,553.8200073242188,557.9600219726562,501500,0,0
2013-04-04,555.6300048828125,557.489990234375,539.239990234375,555.22998046875,560200,0,0
2013-04-05,556.9199829101562,558.2899780273438,543.5700073242188,547.510009765625,440600,0,0
2013-04-08,547.1799926757812,548.0900268554688,528.780029296875,528.780029296875,459600,0,0
2013-04-09,526.0399780273438,535.2999877929688,517.0999755859375,528.1500244140625,494100,0,0
2013-04-10,530.9199829101562,534.8400268554688,527.75,534.8400268554688,395900,0,0
2013-04-11,540.0700073242188,544.530029296875,535.77001953125,544.2999877929688,440500,0,0
2013-04-12,547.6500244140625,551.02001953125,546.719970703125,547.1900024414062,448900,0,0
2013-04-15,550.0900268554688,554.3099975585938,549.6400146484375,553.989990234375,417300,0,0
2013-04-16,548.4500122070312,558.9500122070312,548.3300170898438,558.9500122070312,437500,0,0
2013-04-17,562.5,563.3900146484375,556.6500244140625,558.5399780273438,467400,0,0
2013-04-18,556.6099853515625,558.9299926757812,551.0999755859375,551.0999755859375,416500,0,0
2013-04-19,549.780029296875,551.0599975585938,540.1599731445312,541.4600219726562,448200,0,0
2013-04-22,540.6900024414062,548.22998046875,540.4400024414062,547.0999755859375,434500,0,0
2013-04-23,550.22998046875,554.3800048828125,549.989990234375,554.3699951171875,451200,0,0
2013-04-24,559.010009765625,564.010009765625,558.4500122070312,563.8099975585938,475200,0,0
2013-04-25,564.6400146484375,565.8300170898438,559.0,559.4000244140625,546600,0,0
2013-04-26,562.6900024414062,565.6400146484375,562.0599975585938,565.3499755859375,489800,0,0
2013-04-29,567.5900268554688,568.9199829101562,564.9199829101562,568.3599853515625,442100,0,0
2013-04-30,570.239990234375,570.280029296875,562.3099975585938,563.8699951171875,505700,0,0
2013-05-02,564.510009765625,565.6400146484375,559.75,560.47998046875,454100,0,0
2013-05-03,563.8699951171875,565.3300170898438,559.489990234375,565.3300170898438,479900,0,0
2013-05-06,568.8200073242188,569.0499877929688,567.1199951171875,567.1300048828125,463000,0,0
2013-05-07,569.6900024414062,573.760009765625,568.72998046875,573.6799926757812,475900,0,0
2013-05-08,576.5999755859375,577.5,575.2999877929688,576.7000122070312,466300,0,0
2013-05-09,579.0,579.3300170898438,572.8200073242188,573.3499755859375,470600,0,0
2013-05-10,574.510009765625,574.510009765625,569.4400024414062,569.7000122070312,445300,0,0
2013-05-13,571.760009765625,572.1199951171875,565.719970703125,565.719970703125,450100,0,0
2013-05-14,568.0399780273438,569.3900146484375,554.3400268554688,560.469970703125,543600,0,0
2013-05-15,563.1799926757812,565.7999877929688,563.010009765625,565.6500244140625,432700,0,0
2013-05-16,568.6099853515625,568.6199951171875,565.8699951171875,566.0599975585938,456900,0,0
2013-05-20,567.8200073242188,567.9299926757812,565.6900024414062,567.3200073242188,377800,0,0
2013-05-21,569.3099975585938,572.6900024414062,569.3099975585938,572.6900024414062,383500,0,0
2013-05-22,575.0800170898438,575.219970703125,573.3900146484375,574.25,450300,0,0
2013-05-23,574.5800170898438,576.4500122070312,569.3300170898438,569.3400268554688,503900,0,0
2013-05-24,572.260009765625,574.0700073242188,569.4199829101562,574.0599975585938,449900,0,0
2013-05-27,575.97998046875,577.780029296875,575.3599853515625,577.5599975585938,409400,0,0
2013-05-28,579.8699951171875,585.760009765625,579.5999755859375,585.760009765625,505000,0,0
2013-05-29,588.3900146484375,588.5399780273438,585.6900024414062,585.6900024414062,480800,0,0
2013-05-30,586.6699829101562,587.8900146484375,580.239990234375,581.1300048828125,455500,0,0
