Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-02,2276.610107421875,2302.639892578125,2267.949951171875,2300.159912109375,678500,0,0
2020-11-03,2315.81005859375,2344.77001953125,2315.300048828125,2343.31005859375,887400,0,0
2020-11-04,2361.320068359375,2371.139892578125,2339.949951171875,2357.320068359375,986800,0,0
2020-11-05,2373.409912109375,2413.7900390625,2370.85009765625,2413.7900390625,702000,0,0
2020-11-06,2421.7900390625,2431.110107421875,2404.969970703125,2416.5,825600,0,0
2020-11-09,2438.6298828125,2459.14990234375,2434.52001953125,2447.199951171875,1354900,0,0
2020-11-10,2453.949951171875,2457.93994140625,2435.590087890625,2452.830078125,1464200,0,0
2020-11-11,2459.5,2488.0400390625,2459.5,2485.8701171875,1272000,0,0
2020-11-12,2482.679931640625,2488.7900390625,2467.0400390625,2475.6201171875,1278100,0,0
2020-11-13,2470.1201171875,2495.77001953125,2460.9599609375,2493.8701171875,1072400,0,0
2020-11-16,2507.4599609375,2546.3701171875,2507.4599609375,2543.030029296875,1239100,0,0
2020-11-17,2544.1201171875,2556.090087890625,2533.340087890625,2539.14990234375,1266400,0,0
2020-11-18,2548.85009765625,2553.949951171875,2536.780029296875,2545.639892578125,923500,0,0
2020-11-19,2536.889892578125,2548.949951171875,2529.530029296875,2547.419921875,976500,0,0
2020-11-20,2544.06005859375,2558.2099609375,2539.7900390625,2553.5,1128900,0,0
2020-11-23,2560.0400390625,2605.580078125,2553.699951171875,2602.590087890625,1648900,0,0
2020-11-24,2616.280029296875,2628.52001953125,2605.030029296875,2617.760009765625,1364500,0,0
2020-11-25,2637.340087890625,2642.260009765625,2583.409912109375,2601.5400390625,1410100,0,0
2020-11-26,2605.72998046875,2625.969970703125,2592.429931640625,2625.909912109375,1387400,0,0
2020-11-27,2624.800048828125,2635.0,2618.469970703125,2633.449951171875,1196000,0,0
2020-11-30,2648.050048828125,2648.659912109375,2591.340087890625,2591.340087890625,1311800,0,0
